id,uf,municipio,codigo_ibge,regiao,canal,subcanal,tier,qtd_pontos_estimados,fluxo_diario_estimado,ticket_medio_estimado,faturamento_mensal_estimado,prioridade_expansao,fonte_dado,ano_base,metodologia_aplicada,nivel_confianca
375,RS,Alvorada,4300604,Sul,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
376,RS,Canoas,4304606,Sul,hospital,hospital geral/especializado grande porte,convencional,1,2200,7.5,11925.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split convencional 10%,medio
377,RS,Caxias do Sul,4305108,Sul,hospital,hospital geral/especializado grande porte,convencional,1,2200,7.5,11925.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split convencional 10%,medio
378,RS,Gravataí,4309209,Sul,hospital,hospital geral/especializado grande porte,premium,2,2200,12.0,23760.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
379,RS,Interior de RS,,Sul,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
380,RS,Novo Hamburgo,4313409,Sul,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
381,RS,Porto Alegre,4314902,Sul,hospital,hospital geral/especializado grande porte,convencional,1,2200,7.5,11925.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split convencional 10%,medio
382,RS,Rio Grande,4315602,Sul,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
383,RS,Santa Maria,4316907,Sul,hospital,hospital geral/especializado grande porte,premium,2,2200,12.0,23760.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
384,RS,São Leopoldo,4318705,Sul,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
385,RS,Viamão,4323002,Sul,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
386,SC,Balneário Camboriú,4202008,Sul,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
387,SC,Blumenau,4202404,Sul,hospital,hospital geral/especializado grande porte,convencional,1,2200,7.5,11925.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split convencional 10%,medio
388,SC,Brusque,4202909,Sul,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
389,SC,Caçador,4203006,Sul,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
390,SC,Camboriú,4203204,Sul,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
391,SC,Chapecó,4204202,Sul,hospital,hospital geral/especializado grande porte,premium,2,2200,12.0,23760.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
392,SC,Criciúma,4204608,Sul,hospital,hospital geral/especializado grande porte,premium,2,2200,12.0,23760.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
393,SC,Florianópolis,4205407,Sul,hospital,hospital geral/especializado grande porte,convencional,1,2200,7.5,11925.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split convencional 10%,medio
394,SC,Interior de SC,,Sul,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
395,SC,Itajaí,4208203,Sul,hospital,hospital geral/especializado grande porte,convencional,1,2200,7.5,11925.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split convencional 10%,medio
396,SC,Jaraguá do Sul,4208906,Sul,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
397,SC,Joinville,4209102,Sul,hospital,hospital geral/especializado grande porte,convencional,1,2200,7.5,11925.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split convencional 10%,medio
398,SC,Lages,4209300,Sul,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
399,SC,Navegantes,4211306,Sul,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
400,SC,Palhoça,4211900,Sul,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
401,SC,São Bento do Sul,4215802,Sul,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
402,SC,São José,4216602,Sul,hospital,hospital geral/especializado grande porte,convencional,1,2200,7.5,11925.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split convencional 10%,medio
403,SC,Tubarão,4218707,Sul,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
404,SP,Campinas,3509502,Sudeste,hospital,hospital geral/especializado grande porte,premium,2,2200,12.0,23760.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
405,SP,Guarulhos,3518800,Sudeste,hospital,hospital geral/especializado grande porte,convencional,1,2200,7.5,11925.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split convencional 10%,medio
406,SP,Interior de SP,,Sudeste,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
407,SP,Osasco,3534401,Sudeste,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
408,SP,Ribeirão Preto,3543402,Sudeste,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
409,SP,Santo André,3547809,Sudeste,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
410,SP,São Bernardo do Campo,3548708,Sudeste,hospital,hospital geral/especializado grande porte,premium,2,2200,12.0,23760.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
411,SP,São José dos Campos,3549904,Sudeste,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
412,SP,São Paulo,3550308,Sudeste,hospital,hospital geral/especializado grande porte,convencional,1,2200,7.5,11925.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split convencional 10%,medio
413,SP,Sorocaba,3552205,Sudeste,hospital,hospital geral/especializado grande porte,premium,1,2200,12.0,11880.0,1,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
414,BA,Alagoinhas,2900702,Nordeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,3,1325,7.5,35775.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
415,BA,Barreiras,2903201,Nordeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,3,1325,7.5,35775.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
416,BA,Camaçari,2905701,Nordeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,5,1325,7.5,59625.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
417,BA,Eunápolis,2910727,Nordeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,1,1325,7.5,11925.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
418,BA,Ilhéus,2913606,Nordeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,4,1325,7.5,47700.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
419,BA,Interior de BA,,Nordeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,3,1325,7.5,35775.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,baixo
420,BA,Jequié,2918001,Nordeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,3,1325,7.5,35775.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
421,BA,Lauro de Freitas,2919207,Nordeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
422,BA,Paulo Afonso,2924009,Nordeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,1,1325,7.5,11925.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
423,BA,Porto Seguro,2925303,Nordeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
424,BA,Simões Filho,2930709,Nordeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,1,1325,7.5,11925.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
425,BA,Teixeira de Freitas,2931350,Nordeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
426,MG,Betim,3106705,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,3,1325,7.5,35775.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
427,MG,Governador Valadares,3127701,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
428,MG,Interior de MG,,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,3,1325,7.5,35775.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,baixo
429,MG,Ipatinga,3131307,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
430,MG,Juiz de Fora,3136702,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,4,1325,7.5,47700.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
431,MG,Montes Claros,3143302,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,5,1325,7.5,59625.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
432,MG,Ribeirão das Neves,3154606,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
433,MG,Sete Lagoas,3167202,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
434,MG,Uberaba,3170107,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,4,1325,7.5,47700.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
435,PR,Araucária,4101804,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
436,PR,Cascavel,4104808,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,3,1325,7.5,35775.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
437,PR,Colombo,4105805,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,1,1325,7.5,11925.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
438,PR,Foz do Iguaçu,4108304,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,5,1325,7.5,59625.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
439,PR,Guarapuava,4109401,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
440,PR,Interior de PR,,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,4,1325,7.5,47700.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,baixo
441,PR,Paranaguá,4118204,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,4,1325,7.5,47700.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
442,PR,São José dos Pinhais,4125506,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,4,1325,7.5,47700.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
443,RJ,Angra dos Reis,3300100,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
444,RJ,Barra Mansa,3300407,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,3,1325,7.5,35775.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
445,RJ,Belford Roxo,3300456,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,3,1325,7.5,35775.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
446,RJ,Cabo Frio,3300704,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
447,RJ,Duque de Caxias,3301702,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,5,1325,7.5,59625.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
448,RJ,Itaboraí,3301900,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,1,1325,7.5,11925.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
449,RJ,Macaé,3302403,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,4,1325,7.5,47700.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
450,RJ,Mesquita,3302858,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,1,1325,7.5,11925.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
451,RJ,Nilópolis,3303203,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,1,1325,7.5,11925.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
452,RJ,Nova Friburgo,3303401,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,1,1325,7.5,11925.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
453,RJ,Petrópolis,3303906,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,5,1325,7.5,59625.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
454,RJ,São João de Meriti,3305109,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,5,1325,7.5,59625.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
455,RJ,Teresópolis,3305802,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,1,1325,7.5,11925.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
456,RS,Alvorada,4300604,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,1,1325,7.5,11925.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
457,RS,Canoas,4304606,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,4,1325,7.5,47700.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
458,RS,Interior de RS,,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,3,1325,7.5,35775.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,baixo
459,RS,Passo Fundo,4314100,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,1,1325,7.5,11925.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
460,RS,Rio Grande,4315602,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,3,1325,7.5,35775.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
461,RS,São Leopoldo,4318705,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,3,1325,7.5,35775.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
462,RS,Sapucaia do Sul,4320008,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,1,1325,7.5,11925.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
463,RS,Viamão,4323002,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,4,1325,7.5,47700.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
464,SC,Brusque,4202909,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,4,1325,7.5,47700.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
465,SC,Caçador,4203006,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,3,1325,7.5,35775.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
466,SC,Camboriú,4203204,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
467,SC,Chapecó,4204202,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,3,1325,7.5,35775.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
468,SC,Criciúma,4204608,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,5,1325,7.5,59625.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
469,SC,Interior de SC,,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,baixo
470,SC,Jaraguá do Sul,4208906,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,5,1325,7.5,59625.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
471,SC,Lages,4209300,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,3,1325,7.5,35775.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
472,SC,Navegantes,4211306,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
473,SC,São Bento do Sul,4215802,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
474,SC,Tubarão,4218707,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
475,SP,Guarulhos,3518800,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,4,1325,7.5,47700.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
476,SP,Interior de SP,,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,3,1325,7.5,35775.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,baixo
477,SP,Mauá,3529401,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
478,SP,Osasco,3534401,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,3,1325,7.5,35775.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
479,SP,Ribeirão Preto,3543402,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
480,SP,Santos,3548500,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,2,1325,7.5,23850.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
481,SP,São José do Rio Preto,3549805,Sudeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,1,1325,7.5,11925.0,1,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
